stop_code;stop_name;stop_desc;stop_lat;stop_lon;zone_id;wheelchair_boarding
16717;AV.JOSÉ HIERRO-JOSÉ SARAMAGO;Avda de José Hierro 34;40.3528251647949;-3.5367259979248;B1;1
20499;AV.JOSÉ HIERRO-AMAPOLA;Avda de José Hierro 28;40.355152130127;-3.53884077072144;B1;0
20710;AV.ALMENDROS-Pº CHOPERA;Avda de los Almendros 182;40.3686447143555;-3.53111553192139;B1;0
15878;JOSÉ SARAMAGO-AV.PABLO IGLESIAS;Calle de José Saramago 11;40.3539199829102;-3.53571033477783;B1;1
15885;JOVELLANOS-PETUNIA;Calle   Jovellanos 40;40.3522567749023;-3.52528738975525;B1;1
15886;JOVELLANOS-ÁNGEL SAAVEDRA;Calle  Jovellanos 48;40.352855682373;-3.52462077140808;B1;1
20500;JOSÉ SARAMAGO-AV.PABLO IGLESIAS;Calle de José Saramago 11;40.3541145324707;-3.53494644165039;B1;0
20590;AV.ALMENDROS-FUNDICIÓN;Avda de los Almendros 2 A;40.3575553894043;-3.54652643203735;B1;0
20591;AV.ALMENDROS-AV.MIGUEL HERNÁNDEZ;Avda de los Almendros 2 A;40.3576354980469;-3.54686856269836;B1;0
10626;CTRA.M300-MONTE ACHO;Ctra de Campo Real 8;40.3154296875;-3.48327684402466;B3;1
07997;RÍO MANZANARES-PLAZA DE TOROS;Calle  Río Manzanares 23;40.193977355957;-3.68468475341797;B3;1
10762;AV.ANDALUCÍA-PºDE LA ESTACIÓN;Avda de Andalucía 18;40.1911888122559;-3.67362546920776;B3;1
11985;PºENRIQUE TIERNO GALVÁN-COLEGIO;Paseo de Enrique Tierno Galván 23;40.186882019043;-3.67320680618286;B3;1
12892;PºE.TIERNO GALVÁN-PARQUE TIERNO GALVÁN;Paseo de Enrique Tierno Galván 1;40.1864051818848;-3.67624473571777;B3;1
13019;PZA.EMPERADOR CARLOS V-ATOCHA;Plaza del Emperador Carlos V 6;40.4074897766113;-3.69362020492554;A;1
16336;AV.ESPAÑA-AGUADO;Avda de España 103;40.1846923828125;-3.69351887702942;B3;1
16338;AV.MAR EGEO-INSTITUTO;Avda del Mar Egeo 58;40.1788940429688;-3.68986558914185;B3;1
19050;AV.ESPAÑA-AV.MAR EGEO;Avda de España 103;40.181079864502;-3.69478583335876;B3;0
09622;ALMÍBAR-LA NARANJA;Calle de la Naranja 12;40.0303497314453;-3.60325479507446;C1;1
09627;AV.PLAZA DE TOROS-CºCRUCES;Avda de la Plaza de Toros 22;40.028018951416;-3.60118317604065;C1;1
10441;ALMÍBAR-CALANDRIA;Calle del Almíbar 142;40.0290946960449;-3.60341954231262;C1;1
12207;ALMÍBAR-INFANTAS;Calle del Almíbar 2;40.0348739624023;-3.60267329216003;C1;1
15864;ALMÍBAR-GOBERNADOR;Calle del Almíbar 70;40.0322265625;-3.60300159454346;C1;1
20442;REY-LA NARANJA;Calle del Rey 88;40.0302543640137;-3.60058164596558;C1;0
20443;REY-GOBERNADOR;Calle del Rey;40.0322113037109;-3.60032916069031;C1;0
20444;REY-INFANTAS;Calle del Rey 7;40.0341758728027;-3.60005354881287;C1;0
2044;MINISTERIO DE AGRICULTURA;Paseo de la Infanta Isabel 1;40.4082984924316;-3.69035387039185;A;0
08978;AV.MÓSTOLES-LAS RETAMAS;Avda de Móstoles 3;40.341552734375;-3.84236598014832;B1;1
08979;AV.MÓSTOLES-LAS RETAMAS;Avda de Móstoles 3;40.3414306640625;-3.84223484992981;B1;1
15939;AV.MÓSTOLES-EST.ALCORCÓN CENTRAL;Avda de Móstoles 12;40.3500099182129;-3.83174395561218;B1;1
12409;AV.OESTE-PARQUE MAYOR;Avda del Oeste 37;40.3391914367676;-3.82637190818787;B1;1
740;PRINCESA-PZA.MONCLOA;Calle de la Princesa 89;40.4344482421875;-3.71925759315491;A;0
06639;AV.INDUSTRIA-PICO DE SAN PEDRO;Avda de la Industria 53;40.617073059082;-3.70832633972168;B2;1
11114;TEMPLE-PZA.ESCUADRA;Calle del Temple 4;40.6137847900391;-3.69947290420532;B2;1
18995;DINAMARCA-JUAN PABLO II;Calle de Dinamarca 1;40.6223068237305;-3.7112193107605;B2;0
19344;ESLOVAQUIA-PZA.LOS BARRANCOS;Calle de Eslovaquia 131;40.6205062866211;-3.71421480178833;B2;0
19906;AV.ACTORES-AV.MONTES;Avda de los Actores 22;40.6157646179199;-3.71710801124573;B2;0
